Name,Lifetime[5],Nationality,Notable as,Notes[6]
Yevgeny Kharitonov,1941–1981,Russian,"Actor, writer",G[93]
Elizabeth Khaxas,b. 1960,Namibian,"Writer, activist",L[94]
Mohammad Khordadian,b. 1957,Iranian,"Dancer, choreographer",G[95]
Rohit Khosla,1958–1994,Indian,Fashion designer,B[96]
Lotte Kiærskou,b. 1975,Danish,Handball player,L[97]
Chip Kidd,b. 1964,American,Graphic designer,G[98]
Saleem Kidwai,b. 1951,Indian,Author,G[99]
Caitlín R. Kiernan,b. 1964,Irish-American,Author,L[100]
Bandy Kiki,b. 1991,Cameroonian,"Blogger, LGBT activist, entrepreneur",L[101]
Joel Kim Booster,b. 1988,American,"Actor, comedian and writer",G[102]
Kim Jho Gwangsoo,b. 1965,South Korean,Film director,G[103]
Edd Kimber,b. 1986,English,Reality TV personality; winner of the 2010 Great British Bake Off,G[104]
Bernard King,1934–2002,Australian,TV personality,G[105]
Billie Jean King,b. 1943,American,Tennis player,B[106]
Diana King,b. 1970,Jamaican,Reggae singer-songwriter,L[107]
Florence King,b. 1936,American,Writer,B[108]
Kaki King,b. 1979,American,Rock and jazz musician,L[109]
Michael Patrick King,b. 1954,American,"Director, screenwriter",G[110]
King Princess,b. 1988,American,"Singer-songwriter, musician",L[111]
Shelley King,b. 1955,Indian-British,Actor,L[112]
Solomon King,1932–2005,American,Pop musician,G[113]
Troy King,b. 1968,American,Former Attorney General of Alabama,B[114]
William R. King,1786–1853,American,"Politician, diplomat",G[115][116][117][118]
Andrew Kinlochan,b. 1978,English,Pop musician,G[119]
Caitlin Kinnunen,b. 1991,American,Actor,B[120]
Alfred Kinsey,1894–1956,American,"Biologist, human sexuality researcher",B[121]
Gary Kinsman,b. 1955,Canadian,Sociologist,G[122]
Michael Kirby,b. 1939,Australian,Justice of the High Court of Australia,G[123]
Robert Kirby,b. 1962,American,Cartoonist,G[124]
Tom Kirdahy,b. 1963,American,Theatre producer,G[125]
Kris Kirk,1950–1993,English,"Journalist, gay rights activist",G[126]
Tommy Kirk,b. 1941,American,Actor,G[127]
Tim Kirkman,b. 1966,American,Filmmaker,G[128]
"James Kirkwood, Jr.",1925–1989,American,"Playwright, author",G[129]
Lincoln Kirstein,1907–1996,American,"Writer, impresario, philanthropist, co-founder of the New York City Ballet",B[130]
Kirtanananda Swami,1937–2011,American,"Hare Krishna guru, racketeer",G[131]
Rives Kistler,b. 1949,American,Judge,G[132]
John Kittmer,b. 1967,English,Diplomat,G[133]
Hayley Kiyoko,b. 1991,American,"Singer, actor",L[134]
Stine Brun Kjeldaas,b. 1975,Norwegian,Snowboarder,L[135]
Jeffrey Klarik,b. ?,American,"Writer, producer",G[136]
Fritz Klein,1932–2006,Austrian-American,"Psychiatrist, LGBT activist",B[137]
Jason Klein,b. ?[5],American,Rabbi,G[138]
Sharon Kleinbaum,b. 1959,American,Rabbi,L[139]
Irena Klepfisz,b. 1941,Polish-American,Author,L[140]
Rudolf Klimmer,1905–1977,German,"Psychologist, sexologist, gay rights activist",G[141]
Hans Klok,b. 1969,Dutch,Illusionist,G[142]
Ilana Kloss,b. 1956,South African,Tennis player,L[143]
Anna Elizabeth Klumpke,1856-1942,American,Portrait and genre painter,L[144]
Nikolai Klyuev,1884–1937,Russian,Poet,G[145]
Steve Kmetko,b. 1953,American,Broadcast journalist,G[146]
Jennifer Knapp,b. 1974,American,Musician,L[147]
Jennie Lea Knight,1933–2007,American,Sculptor,[148]
Jonathan Knight,b. 1968,American,Pop singer (New Kids on the Block),G[149]
T. R. Knight,b. 1973,American,Actor,G[150]
Frankie Knuckles,1955–2014,American,"DJ, record producer",G[151]
Tamai Kobayashi,b. 1965,Canadian,Writer,L[152]
Olha Kobylianska,1863–1942,Ukrainian,"Writer, feminist",B[153]
Igor Kochetkov,b. 1970,Russian,"Writer, human rights activist",G[154]
Boris Kochno,1904-1990,Russian,"Ballet dancer, poet, librettist",G[155]
Bryan Kocis,1963–2007,American,"Porn producer, murder victim",G[156]
Paul Koering,b. 1964,American,Politician,G[157]
Wayne Koestenbaum,b. 1958,American,Poet and cultural critic,G[158]
Jeffrey Kofman,b. 1959,Canadian,Broadcast journalist,G[159]
Valentina Kogan,b. 1980,Argentine,Handball player,L[160]
Bob Kohler,1926–2007,American,LGBT rights activist,G[161]
Sally Kohn,b. 1977,American,Journalist,L[162]
Irene de Kok,b. 1963,Dutch,Judoka,L[163]
Uri Kokia,b. 1981,Israeli,Basketball player,G[164]
Ilse Kokula,b. 1944,German,"Sociologist, author, LGBT activist",L[165]
Chris Kolb,b. 1958,American,Politician,G[166]
Jim Kolbe,b. 1942,American,Politician,G[167]
Dominik Koll,b. 1984,Austrian,Swimmer,G[168]
Helmut Kolle,1899–1931,German,Painter,G[169]
Oswalt Kolle,1928–2010,Dutch-German,Sexologist,B[170]
Debra Kolodny,b. ?[5],American,Rabbi,B[171]
Gerrit Komrij,1944–2012,Dutch,"Poet, novelist, translator, polemic, critic, playwright",G[172]
Ralf König,b. 1960,German,Cartoonist,G[173]
Grand Duke Konstantin Konstantinovich,1858–1915,Russian,"Nobleman, poet",G[174]
Toto Koopman,1908–1991,Dutch-Javanese,Model,B[175]
David Kopay,b. 1942,American,American football player,G[31]
Steve Kornacki,b. 1979,American,Journalist,G[176]
Tinja-Riikka Korpela,b. 1986,Finnish,Footballer,L[177]
Michael Kors,b. 1959,American,Fashion designer,G[178]
Jon Kortajarena,b. 1985,Spanish,"Model, actor",G[179]
Tina Kotek,b. 1966,American,Politician,L[180]
Reşat Ekrem Koçu,1905–1975,Turkish,"Writer, historian",G[181]
Davina Kotulski,b. 1970,American,"Psychologist, writer, activist",L[182]
Sofia Kovalevskaya,1850–1891,Russian,Mathematician,B[183]
Kris Kovick,1951–2001,American,"Writer, cartoonist",L[184]
Anna Kowalska,1903–1969,Polish,Writer,B[185]
Daniel Kowalski,b. 1975,Australian,Swimmer,G[186]
Dave Koz,b. 1963,American,Jazz musician,G[187]
Kathy Kozachenko,b. ?,American,Politician,L[188]
Vadim Kozin,1903–1994,Russian,Singer,G[189]
Greg Kramer,1961–2013,English-Canadian,Actor,G[190]
Larry Kramer,1935–2020,American,"Writer, LGBT activist",G[191]
Vjekoslav Kramer,b. 1976,Bosnian,Chef and media personality,G[192]
Anton Krasovsky,b. 1975,Russian,"Political journalist, TV personality, LGBT rights activist",G[193]
Bruce Kraus,b. 1954,American,Politician,G[194]
Elmar Kraushaar,b. 1950,German,"Journalist, author",G[195]
Reginald Kray,1933–2000,English,"Criminal, one half of the Kray twins",B[196]
Ronald Kray,1933–1995,English,"Criminal, one half of the Kray twins",G[197]
Levi Kreis,b. 1981,American,Pop musician,G[198]
Carson Kressley,b. 1969,American,"TV personality, actor, designer",G[199]
Marco Kreuzpaintner,b. 1977,German,"Film director, screenwriter",G[200]
Ali Krieger,b. 1984,American,Soccer player,L[201]
Uwe Kröger,b. 1964,German,"Singer, musical theater actor",G[202]
John Krokidas,b. 1973,American,"Film director, screenwriter, producer",G[203]
Rindert Kromhout,b. 1958,Dutch,Children's writer,G[204]
Lisa Kron,b. 1961,American,Playwright,L[205]
Anne Kronenberg,b. ?[5],American,Political administrator,L[206]
Maren Kroymann,b. 1949,German,"Actor, singer",L[207]
Emmy Krüger,1886–1976,German,Opera soprano,L[208]
Václav Krška,1900–1969,Czech,"Film director, screenwriter",G[209]
Risto Kübar,b. 1983,Estonian,Actor,G[210]
Iwona Kuczyńska,b. 1961,Polish,Tennis player,L[211]
Sheila Kuehl,b. 1941,American,Politician,L[212]
Elisar von Kupffer,1872–1942,Baltic German,"Artist, writer",G[213]
Marius Kurkinski,b. 1969,Bulgarian,"Actor, singer and director",G[214]
Alejandro Kuropatwa,1956-2003,Argentine,Photographer,G[215]
Elvira Kurt,b. 1961,Canadian,Comedian,L[216]
Ellen Kushner,b. 1955,American,Author,L[217]
Tony Kushner,b. 1956,American,Playwright,G[218]
Daniel Küblböck,1985-2018,German,"Pop musician, actor",G[219]
Michael Kühnen,1955–1991,German,Neo-Nazi leader,G[220]
Kim Kulig,b. 1990,German,Footballer,L[221]
Nancy Kulp,1921–1991,American,Actor,L[222]
Luksika Kumkhum,b. 1993,Thai,Tennis player,L[223]
Dmitry Kuzmin,b. 1968,Russian,"Poet, critic, publisher",G[224]
Mikhail Kuzmin,1872–1936,Russian,Poet,G[225]
Nataliya Kuznetsova,b. 1991,Russian,"World armlifting, bench press and deadlift champion",B[226]
Stanley Kwan,b. 1957,Hong Kong,"Film director, producer",G[227]
Michał Kwiatkowski,b. 1983,Polish,Pop singer,G[228]
R.O. Kwon,b. ?,South Korean-American,Novelist,B[229]
Kylie Kwong,b. 1969,Chinese-Australian,"TV chef, author, TV presenter, restaurateur",L[230]
Touko Laaksonen (Tom of Finland),1920–1991,Finnish,Artist,G[7]
Charline Labonté,b. 1982,Canadian,Ice hockey player,L[8]
Bruce LaBruce,b. 1964,Canadian,Filmmaker,G[9]
David LaChapelle,b. 1969,American,Photographer,G[10]
Vera Lachmann,1904–1985,German-American,"Poet, classicist, educator",L[11]
Stephen Lachs,b. 1939,American,1st openly gay judge appointed in the U.S.,G[12]
Alexandra Lacrabère,b. 1987,French,Handball player,L[13]
Lady Catiria,1959–1999,Puerto Rican,Female impersonator,G[14]
Lady Rhea,b. ?[5],American,"Wiccan high priestess, business owner",L[15]
Lady Sovereign,b. 1985,English,Rapper,L[16]
Carole LaFavor,d. 2011,American,"Novelist, AIDS activist",L[17]
Erling Lae,b. 1947,Norwegian,Politician,G[18]
Lawrence La Fountain-Stokes,b. 1968,Puerto Rican,"Scholar, short story author",G[19]
Jean-Luc Lagarce,1957–1995,French,"Playwright, actor",G[20]
Karl Lagerfeld,1933-2019,German,Fashion designer,G[21][22]
Selma Lagerlöf,1858–1940,Swedish,Author,L[23]
Dawn Laguens,b.1964,American,LGBT activist and businesswoman,
Mohamed Lahouaiej-Bouhlel,1985–2016,Tunisian-French,Terrorist,B[24]
Kay Lahusen,b. 1930,American,Photojournalist,L[25]
Hugh Laing,1911–1988,Barbadian,Dancer,G[26]
John Laird,b. 1950,American,Politician,G[27]
Lili Lakich,b. 1944,American,Artist,L[28]
Chet Lam,b. 1976,Hong Kong,Pop singer,G[29]
Joel Lamangan,b. 1952,Filipino,"Director, actor",G[30]
Iñigo Lamarca,b. 1959,Spanish,"Lawyer, politician",G[31]
Adam Lambert,b. 1982,American,"Singer, actor, American Idol Season 8 runner-up",G[32]
Gavin Lambert,1924–2005,English,"Screenwriter, novelist",G[33]
Mary Lambert,b. 1989,American,Singer-songwriter,L[34]
Vladimir Lambsdorff,1845–1907,Russian,Politician,G[35]
Amy Lamé,b. 1971,American-British,"Comedian, radio and TV presenter",L[36]
Nomy Lamm,b. 1975,American,"Musician, activist",L[37]
Kim Lammers,b. 1981,Dutch,Field hockey player,L[38]
Jun Lana,b. 1972,Filipino,"Filmmaker, writer",G[39]
Christopher B. Landon,b. 1975,American,Screenwriter,G[40]
Wanda Landowska,1879–1959,Polish-French,Classical harpsichordist,L[41]
Jessica Landström,b. 1984,Swedish,Football player,L[42]
Matteo Lane,b. 1982,American,Comedian,G[43]
Nathan Lane,b. 1956,American,Actor,G[44]
Sasha Lane,b. 1995,American,Actor,L[45]
k.d. lang,b. 1961,Canadian,Singer,L[46]
Johann de Lange,b. 1959,South African,"Poet, writer",G[47]
Ruby Rose Langenheim,b. 1986,Australian,MTV VJ,L[48]
Aneta Langerová,b. 1986,Czech,"Pop singer, musician",L[49]
Michel Langlois,b. ?[5],Canadian,"Film director, screenwriter",G[50]
Doug Langway,b. ?[5],American,"Film director, screenwriter",G[51]
Michael Lannan,b. ?[5],American,"Screenwriter, producer",G[52]
Tom Lanoye,b. 1958,Belgian,Writer,G[53]
Eyre de Lanux,1894–1996,American,"Artist, writer",L[54]
Napoleon Lapathiotis,1888–1933,Greek,Poet,G[55]
Laurier LaPierre,1929–2012,Canadian,"Senator, journalist, broadcaster",G[56]
Charles Lapointe,b. 1944,Canadian,"Politician, bureaucrat",G[57]
Lauren Lappin,b. 1984,American,Olympic medalist,L[58]
Låpsley,b. 1996,English,"Singer, songwriter, musician, producer",B[59]
John Lapus,b. 1973,Filipino,"TV personality, comedian",G[60]
Ana-Maurine Lara,b. 1975,Dominican-American,"Poet, novelist, black feminist scholar",L[61]
Ricardo Lara,b. 1974,American,Politician,G[62]
Robert Laramée,b. ?,Canadian,Politician,G[63]
Storm Large,b. 1969,American,"Rock musician, reality show contestant",B[64]
Patty Larkin,b. 1951,American,Singer-songwriter,L[65]
Jack Larson,1928–2015,American,Actor,G[66]
Johanna Larsson,b. 1988,Swedish,Tennis player,L[67]
Chi Chi LaRue,b. 1959,American,Pornographic director,G[68]
Danny La Rue,1927–2009,Irish-British,"Entertainer, drag performer",G[69]
Manoly Lascaris,1912–2003,Greek,Lover of author Patrick White,G[70]
Ana Irma Rivera Lassén,b. 1955,Puerto Rican,First openly lesbian (and Afro-Puerto Rican female) President of the Bar Association of Puerto Rico,L[71]
Jef Last,1898–1972,Dutch,"Poet, writer, translator, activist",B[72]
Anna Laszuk,1969–2012,Polish,"Journalist, activist",L[73]
Rob Latham,b. ?[5],American,"Professor, science fiction critic",G[74]
Derek Laud,b. 1964,English,"Political activist, reality show contestant",G[75]
Charles Laughton,1899–1962,English-American,Actor,G[76]
Duncan Laurence,b. 1994,Dutch,"Singer, musician, winner of the Eurovision Song Contest 2019",B[77]
Arthur Laurents,1917–2011,American,"Playwright, novelist, stage director",G[78]
John Lauritsen,b. 1939,American,Historian,G[79]
Bryony Lavery,b. 1947,English,Playwright,G[80]
Olof Lavesson,b. 1976,Swedish,Politician,G[81]
Lynn Lavner,b. ?,American,Comedian,L[82]
Mélange Lavonne,b. ?,American,Rapper,L[83]
Mike Lawlor,b. 1956,American,Politician,G[84]
John Geddes Lawrence Jr.,1943–2011,American,Litigant in Lawrence v. Texas case,G[85]
T.E. Lawrence,1888–1935,English,"Writer, archaeologist, military officer, diplomat",G[86]
David Laws,b. 1965,English,Politician,G[87]
Marion Lay,b. 1948,Canadian,Swimmer,L[88]
Agustín Lazo Adalid,1896–1971,Mexican,"Artist, playwright",G[89]
Chris Lea,b. ?,Canadian,Politician,L[90]
David Leavitt,b. 1961,American,Novelist,G[91]
René Leboeuf,b. ?,Canadian,"Gay rights activist, half of first same-sex marriage in Canada",G[92]
Jan Lechoń,1889–1956,Polish,"Poet, literary and theater critic, diplomat",G[93]
Gerald L'Ecuyer,b. 1959,Canadian,Film and TV director,G[94]
Mark Leduc,1964–2009,Canadian,Boxer,G[95]
Timothy LeDuc,b. 1990,American,Figure skater,G[96]
Violette Leduc,1907–1972,French,Writer,B[97]
Blake Lee,b. 1983,American,Actor,G[98]
Bruce George Peter Lee,b. 1960,English,Serial killer,G[99]
Lee Hae-young,b. 1973,South Korean,"Film director, screenwriter",G[100]
Iain Lee,b. 1973,English,"Broadcaster, comedian",B[101]
Jon Lee,b. 1982,English,"Pop singer (S Club 7), actor",G[102]
Justin Lee,b. 1977,American,Founder and Executive Director of Gay Christian Network,G[103]
Maryat Lee,1923–1989,American,Playwright and theatre producer,L[104]
Quentin Lee,b. 1971,Canadian,Filmmaker,G[105]
Rex Lee,b. 1969,American,Actor,G[106]
Sky Lee,b. 1952,Canadian,"Writer, artist",L[107]
Leesong Hee-il,b. 1971,South Korean,Film director,G[108]
Paul de Leeuw,b. 1962,Dutch,"TV personality, comedian, singer, actor",G[109]
Nicole LeFavour,b. 1964,American,Politician,L[110]
Eva Le Gallienne,1899–1991,British-American,"Actor, producer, director, translator, author",L[111]
Krystian Legierski,b. 1978,Polish,Politician,G[112]
Casey Legler,b. 1977,French-American,"Swimmer, writer, restaurateur, model",L[113]
Fernand Legros,1931–1983,American,"Art director, forger",G[114]
Alisha Lehmann,b. 1999,Swiss,Footballer,L[115]
Reichen Lehmkuhl,b. 1973,American,"Reality show contestant, actor, model, LGBT rights activist",G[116]
Annie Leibovitz,b. 1949,American,Photographer,L[117]
Le1f,b. 1989,American,"Rapper, music producer",G[118]
Carol Leifer,b. 1956,American,Comedian,B[119]
Natalia Leite,b. 1984,Brazilian,"Filmmaker, actor",L[120]
Mitchell Leisen,1898–1972,American,Director,G[121]
Phuti Lekoloane,b. 1992,South African,"Footballer, LGBT rights activist",G[122]
Thierry Le Luron,1952–1986,French,"Comedian, entertainer",G[123]
Andy LeMaster,b. ?,American,Singer-songwriter,G[124]
Kevin P. Lembo,b. 1963,American,Politician,G[125]
Pedro Lemebel,1952–2015,Chilean,Writer,G[126]
Julia Lemigova,b. 1972,Russian,"Businesswoman, model",L[127]
Marc-Antoine Lemire,b. 1990,Canadian,"Film director, screenwriter",G[128]
Yoann Lemoine (Woodkid),b. 1983,French,"Singer-songwriter, musician, music video director, graphic designer",G[129]
Don Lemon,b. 1966,American,"News anchor, journalist",G[130]
Tamara de Lempicka,1898–1980,Polish,Painter,B[131]
Barbara Lenk,b. 1950,American,Associate Justice of the Massachusetts Supreme Judicial Court,L[132]
Tom Lenk,b. 1976,American,Actor,G[133]
Jasmine Lennard,b. 1985,English,Model,B[134]
Mark Leno,b. 1951,American,Politician,G[135]
Robert Lentz,b. 1946,American,"Iconographer, Franciscan friar",G[136][137]
Dennis deLeon,1948–2009,American,"Human rights lawyer, HIV/AIDS activist, Latino community leader",G[138]
María Pilar León,b. 1995,Spanish,Footballer,L[139]
Zoe Leonard,b. 1961,American,Photographer and visual artist,L[140][141]
Paco León,b. 1974,Spanish,Actor,B[142]
Vange Leonel,1963–2014,Brazilian,"Rock singer, musician (Nau), novelist, playwright, feminist, LGBT activist",L[143]
Amy Leong Pang,1908–1989,Trinidadian,Painter,L[144]
Jónína Leósdóttir,b. 1954,Icelandic,"Novelist, playwright, journalist",L[145]
Pierre Lepori,b. 1968,Swiss,"Writer, translator",G[146]
Leo Lerman,1914–1994,American,"Writer, editor",G[147]
Javicia Leslie,b. 1987,German-American,Actor,B[148]
Phil Lester,b. 1987,English,YouTuber,G[149]
Arthur Lett-Haines,1894–1978,English,"Painter, sculptor",G[150]
Brian Leung,b. 1964,Hong Kong,Radio presenter,G[151]
Joanne Leung,b. ?[5],Hong Kong,Politician; 1st openly transgender lesbian serving in politics,L[152]
Telly Leung,b. 1980,American,"Actor, musician",G[153]
Larry Levan,1954–1992,American,DJ,G[154]
Simon LeVay,b. 1943,American,Neuroscientist,G[155]
Mark Levengood,b. 1964,Finnish-Swede,"Writer, journalist, talk show host",G[156]
Malin Levenstad,b. 1988,Swedish,Footballer,L[157]
Harvey Levin,b. 1950,American,"Producer, lawyer",G[158]
Saul Levin,b. ?,South African,Psychiatrist,G[159]
David Levithan,b. 1972,American,Writer,G[160]
Ariel Levy,b. 1974,American,Writer,L[161]
Dan Levy,b. 1983,Canadian,"Actor, screenwriter, producer",G[162]
Judith Ellen Levy,b. 1958,American,Judge of the U.S. District Court,L[163]
William Alexander Levy,1909–1997,American,Architect,G[164]
Ben Lewis,b. ?,Canadian,Actor,G[165]
Jeff Lewis,b. 1970,American,"Real estate speculator, interior designer, TV personality",G[166]
Zoë Lewis,b. ?,English,Folk musician,L[167]
Frank Xavier Leyendecker,1876–1924,American,Illustrator,G[168]
J. C. Leyendecker,1871–1951,American,Illustrator,G[169]
Liang Ji,d. 159,Chinese (Han Dynasty),General,B[170][171]
Liberace,1919–1987,American,Classical/pop musician,G[172]
Mitchell Lichtenstein,b. 1956,American,"Actor, writer, director",G[173]
Ivri Lider,b. 1974,Israeli,Rock musician (The Young Professionals),G[174]
Eli Lieb,b. 1979,American,Musician,G[175]
Ali Liebegott,b. 1971,American,Writer,L[176]
Sebastián Ligarde,b. 1954,American-Mexican,"Actor, acting coach",G[177]
Lori Lightfoot,b. 1962,American,"Politician, Mayor of Chicago",L[178]
Glenn Ligon,b. 1960,American,Artist,G[179]
Marko Liias,b. 1981,American,Politician,G[180]
Lil Nas X,b. 1999,American,"Rapper, singer, songwriter",G[181]
Lil Peep,1996–2017,American,"Rapper, singer",B[182]
José Lezama Lima,1910–1976,Cuban,Poet,G[183]
Limahl,b. 1958,English,Pop singer (Kajagoogoo),G[184]
Iyari Limon,b. 1976,American,Actor,B[185]
Lin Hwai-min,b. 1947,Taiwanese,"Dancer, writer, choreographer, theater founder/director",G[186]
